Principio Activo,Cantidad de Medicamentos,Nombre en Inglés
CLOMIFENO CITRATO,1,N/A
PRIMAQUINA FOSFATO (EQUIVALENTE A PRIMAQUINA BASE 15 MG),1,N/A
TETRACICLINA BASE MICROPULVERIZADA( EQUIVALENTE ACLORHIDRATO DE TETRACICLINA),1,N/A
QUETIAPINA FUMARATO 345.36MG EQUIVALENTE QUETIAPINA BASE,1,N/A
TIAMINA CLORHIDRATO (315MG),1,N/A
QUININA SULFATO,1,N/A
LIDOCAINA CLORHIDRATO MONOHIDRATO EQUIVALENTE A LIDOCAÍNA CLORHIDRATO,1,N/A
COLECALCIFEROL (VITAMINA D3 100.000 UI/G. 100 CW EQUIVALENTE A 125U),1,N/A
ITRACONAZOL PELLETS 22% EQUIVALENTE A ITRACONAZOL,1,N/A
CILASTATINA SÓDICA,1,N/A
MONTELUKAST SÓDICO 5.19 MG EQUIVALENTE A MONTELUKAST,1,N/A
INSULINA ZINC ISOFANA HUMANA (ORIGEN ADN RECOMBINANTE),1,N/A
FOSFATO DIBÁSICO DE CALCIO ANHIDROEQUIVALENTE A CALCIO,1,N/A
GEL FLUIDO DE HIDROXIDO DE ALUMINIO Y MAGNESIO EQUIVALENTE A 4 G DE HIDROXIDO DE ALUMINIOYA 4 G DE HIDROXIDO DE MAGNESIO.,1,N/A
VITAMINA B6 (PIRIDOXINA. HCL),1,N/A
TOLTERODINA L- TARTRATO,1,N/A
ACETAMINOFEN POLVO (PARACETAMOL),1,N/A
RIBOFLAVINA FOSFATO SAL SODICA DIHIDRATO,1,N/A
SERTRALINA CLORHIDRATO ( EQUIVALENTE A SERTRALINA BASE),1,N/A
D-L ALFA TOCOFERIL ACETATO VITAMINA E EQUIVALENTE A VITAMINA E,1,N/A
TOCOFERIL ACETATO (VITAMINA E 100%),1,N/A
VIRUS DE PAROTIDITIS VIVO RUBINI,1,N/A
AMOXICILINA TRIHIDRATO EQUIVALENTE AAMOXICILINA BASE,1,N/A
CIANOCOBALAMINA EN GELATINA DE PESCADO EQUIVALENTE A CIANOCOBALAMINA (B12),1,N/A
CLORHIDRATO DE TETRACAINA,1,N/A
GONADOTROPINA CORIONICA,1,N/A
CLAVULANATO DE POTASIO 171.235. EQUIVALENTE A ACIDO CLAVULANICO,1,N/A
LOFEPRAMINA CLORHIDRATO EQUIVALENTE A 70 MG DE LOFEPRAMINA,1,N/A
PAMOATO DE PIRANTEL EQUIVALENTE APIRANTEL BASE,1,N/A
ACIDOASCÓRBICO (VITAMINAC),1,N/A
PROSOLV SMCC (TM) 90 (98.0% CELULOSA MICROCRISTALINA 149.805MG. 2.0% DIOXIDO DE SILICIO COLOIDAL 3.057MG),1,N/A
RANITIDINA CLORHIDRATO EQUIVALENTE A RANTIDINA BASE,1,N/A
HIDROCLOTIAZIDA,1,N/A
VITAMINA E (D/L ALFA TOCOFERIL ACETATO) 424 MG EQUIVALENTES A,1,N/A
AMLODIPINO BESILATO (13.86MG) EQUIVALENTE A AMLODIPINO,1,N/A
DIACEREINA,1,N/A
LEVOFLOXACINA HEMIDRATO( EQUIVALENTE A 5 MG DE LEVOFLOXACINA ANHIDRA9,1,N/A
TRAMADOL CLORHIDRATO (EQUIVALENTE A TRAMADOL BASE),1,N/A
HISTIDINA CLORHIDRATO MONOHIDRATO EQUIVALENTE A,1,N/A
FOSFATIDIL-COLINA (LECITINA DE HUEVO),1,N/A
DILTIAZEM MICROGRANULOS EQUIVALENTES A DILTIAZEM,1,N/A
CROMO (COMO CLORURO CROMICO),1,N/A
SULFATO DE NIQUEL HEXAHIDRATO EQUIVALENTE ANIQUEL,1,N/A
KETOPROFEN,1,N/A
BETAMETASONA DIPROPIONATOEQUIVALENTE A 0.050 DE BETAMETASONA BASE,1,N/A
VINORELBINA BITARTRATO 13.85 MG EQUIVALENTE A VINORELBINA BASE,1,N/A
AMOXICILINA TRIHIDRATADA 573 MG (EQUIVALENTE A 500 MG DE AMOXICILINA BASE,1,N/A
YODOPOVIDONA 11.000 G. EQUIVALENTE A YODO ELEMENTAL,1,N/A
ATORVASTATINA CALCICA(EN FORMA DE TRIHIDRATO),1,N/A
5- NITRATO DE ISOSORBIDA,1,N/A
ERTAPENEM,1,N/A
VITAMINA E 500 UI/G,1,N/A
TERBUTALINA SULFATO U.S.P.,1,N/A
SABOR A NARANJA. FIRMENICH (55301/AP 05.51),1,N/A
TERBINAFINA CLORHIDRATO USP,1,N/A
NEOMICINA SULFATO (COMO BASE),1,N/A
OLEATO SÓDICO,1,N/A
TOCOFERIL ACETATO (VITAMINA E SINTETICA) EQUIVALENTE A VITAMINA E(1 UI = 1 MG SI LA POTENCIA ES IGUAL AL 100%,1,N/A
SUCRALFATOTIPO S235 DC EQUIVALENTE A SUCRALFATO,1,N/A
ACIDO IBANDRÓNICO EN FORMA DE IBANDRONATO,1,N/A
CEFTRIAZONA SODICA EQUIVALENTE A CEFTRIAZONA,1,N/A
IBUPROFENO U.S.P.,1,N/A
VIRUS DE PAPERAS VIVO ATENUADOCEPA URABE AM-9,1,N/A
GLUCOSA MONOHIDRATADA (EQUIVALENTE A GLUCOSA ANHIDRA),1,N/A
SULFATO DE MANGANESO ( 5 MG MANGANESO ELEMENTAL),1,N/A
INMUNOGLOBULINAG CONTENIENDO ANTICUERPOS PARA HBSAG,1,N/A
POLIETILENGLICOL 3350 GRANULAR EQUIVALENTE A 17G/DOSIS,1,N/A
SULBACTAM SÓDICO ESTÉRIL EQUIVALENTE A SULKBACTAM BASE,1,N/A
PAMOATO DE OXANTEL 13.9665 G EQUIVALENTE A OXANTEL,1,N/A
TIAMINA CLORHIDRATO 105MG EQUIVALENTES A:,1,N/A
TOBRAMICINA (1000 MCG/MG),1,N/A
CASCARA DE SEMILLAS DE PLANTAGO (CASCARA DE ISPHAGULA),1,N/A
RIBOFLAVINA5FOSFATO,1,N/A
ACETILCISTEINA (EQUIVALENTE A 0.59 G DE L-CISTEINA),1,N/A
MOEXIPRILO CLORHIDRATO,1,N/A
ACIDOS OMEGA 3 AL 85% 1000MG EQUIVALENTE A 470MG DE ACIDO EICOSAPENTAENOICO Y 380MG DE ACIDO DOCOSAHEXAENOICO,1,N/A
SULFATO FERROSO DESECADO (EQUIVALENTE A 15 MG DE HIERRO ELEMENTAL),1,N/A
AMPICILINA SÓDICA EQUIVALENTE A AMPICILINA,1,N/A
RIBOFLAVINA FOSFATO. SAL SODICA. DIHIDRATO,1,N/A
AMOXICILINA TRIHIDRATO USP ( EQUIVALENTE A 500 MG DE AMOXICILINA),1,N/A
DORIPENEM MONOHIDRATO 521.42 MG EQUIVALENTE A DORIPENEM,1,N/A
CIANOCOBALAMNA EQUIVALENTE A VITAMINA B12,1,N/A
AMOXICILINA TRIHIDRATOEQUIVALENTE A AMOXICILINA,1,N/A
DL-ALFATOCOFERIL ACETATO (VITAMINA E SINTÉTICA) EQUIVALENTE A 200U.I DE VITAMINA E,1,N/A
VIRUS DEL POLIO TIPO 2:100.000 PARTICULAS INFECCIOSAS,1,N/A
MEZCLA DE AMOXICILINA TRIHIDRATO Y CLAVULANATO DE POTASIO,1,N/A
SERTRALINA CLORHIDRATO (EQUIVALENTE A 100 MG DE SERTRALINA BASE),1,N/A
EXTRACTO BLANDO DE CASCARA SAGRADA,1,N/A
VITAMINA D3 100.000 UI/G2. EQUIVALENTE A 200 UI DE VITAMINA D3,1,N/A
LEVADURA SECA.,1,N/A
TORONJA,1,N/A
SILDENAFILO CITRATO EQUIVALENTE A 50 MG DE BASE,1,N/A
COBRE EN FORMA DE COBRES ULFATO ANHIDRO,1,N/A
L-ASPARAGINASA.,1,N/A
ESCOBA DE CARNICERO,1,N/A
PENICILINA V POTASICA (FENOXIMETILPENICILINA POTASICA EQUIVALENTE A 800.000 UNIDADES DE PENICILINA V),1,N/A
POLVO CAPSICO: 13%(EQUIVALENTE A CAPSAICINA 4.7),1,N/A
PROTEINSUCCILINATO DE HIERRO 5.34 G. EQUIVALENTE A HIERRO ELEMENTAL,1,N/A
ALTEPLASE (ACTIVADOR TISULAR DEL PLASMINOGENO HUMANO RECOMBINANTE),1,N/A
VITAMINA B2 (COMO RIBOFLAVINA BASE),1,N/A
DICLOXACILINA SODICA (295.0 MG) EQUIVALENTE A DICLOXACILINA BASE,1,N/A
AMOXICILINA TRIHIDRATO 586.5 G EQUIVALENTE AMOXICILINA ANHIDRA,1,N/A
RANITIDINA CLORHIDRATO USP/BP AL 87% (EQUIVALENTE A 150 MG. DE RANITIDINA BASE),1,N/A
VITAMINA C (ASCORBATO DE SODIO ),1,N/A
AZITROMICINA DIHIDRATO (EQUIVALENTE A AZITROMICINA 500 MG),1,N/A
PIRIDOXINA VITAMINA B6,1,N/A
OMEPRAZOL (MICROGRANULOS),1,N/A
TERBINAFINA CLORHIDRATO 288.88 MG EQUIVALENTE A TERBINAFINA BASE,1,N/A
FOLITROPINA BETA,1,N/A
VITAMINA A ACETATO EQUIVALENTE A 8000 U.I.,1,N/A
GUAR GALACTOMANNAN,1,N/A
SENNA CONCENTRADO 187 MG EQUIVALENTE A SENOSIDOS A Y B,1,N/A
ETILENDIAMINA,1,N/A
PROTEINA DE PLASMA HUMANO (INMUNOGLOBULINA 95%),1,N/A
FOSFORO (FOSFATO DE CALCIO),1,N/A
DICLOXACILINA SODICA MONOHIDRATO EQUIVALENTE A 5G DE DICLOXACILINA BASE,1,N/A
NORFLOXACINA BASE,1,N/A
CASCARA DE ISPAGHULA EN POLVO,1,N/A
BENAZEPRIL CLORHIDRATO,1,N/A
IBUPROFENO COMPRESION DIRECTA 90% 888.9MG EQUIVALENTE A IBUPROFENO,1,N/A
AMOXICILINA TRIHIDRATO. EQUIVALENTE A AMOXICILINA BASE,1,N/A
A/CALIFORNIA/7/2009 (H1N1) PDM09 CEPA ANÁLOGA A/CALIFORNIA/7/2009 (NYMC X-181),1,N/A
DEXTROSA MONOHIDRATO2200.00MG (EQUIVALENTE A DEXTROSA ANHIDRA),1,N/A
PENICILINA G BENZATÍNICA TETRAHIDRATO ESTERIL EQUIVALENTE A PENICILINA G,1,N/A
NIFEDIPINO MICRONIZADO,1,N/A
RIBOFLAVINA (VIT.B2),1,N/A
DEXAMETASONA SODICA FOSFATO EQUIVALENTE A DEXAMETASONA FOSFATO,1,N/A
AMOXICILINA TRIHIDRATO 588.36. EQUIVALENTE A AMOXICILINA BASE,1,N/A
L-LISINA HIDROCLORURO 11.3 G CORRESPONDIENTE A L-LISINA,1,N/A
CHOLECALCIFEROL EQUIVALENTE A VITAMINA D,1,N/A
LINCOMICINA CLORHIDRATO 733.2 MG EQUIVALENTE ALINCOMICINA BASE (ANHIDRA),1,N/A
PIRIDOXINA CLORHIDRATO EQUIVALENTE A VITAMINA B6,1,N/A
IBUPROFENO DE COMPRESION DIRECTA (65%-66%)EQUIVALENTE A IBUPROFENO,1,N/A
CILAZAPRIL ANHIDRO( EN FORMA DE CILAZAPRIL 5.0 MG QUE CONTIENE UNA MOLECULA DE AGUA),1,N/A
PANCREATINAIII ( EQUIVALENTE A LIPASA 12 UNIDADES. 10 AMILASA. 36 PROTEASA),1,N/A
FUSIDATO DE SODIO BP,1,N/A
ROSUVASTATINA CALCICA. EQUIVALENTE A ROSUVASTATINA,1,N/A
YODO POLIVINILPIRROLIDONA,1,N/A
RAMIPRIL EP (EQUIVALENTE A RAMIPRIL 10 MG),1,N/A
PIRIDOXINA CLORHIDRATO (VITAMINA B6) EQUIVALENTE A PIRIDOXINA,1,N/A
QUINAPRIL CLORHIDRATO EQUIVALENTE A QUINAPRIL,1,N/A
CEFTRIAXONA SODICA ESTERIL ( EQUIVALENTE A 1 G DE CEFTRIAXONA),1,N/A
CUBIERTA CLORHIDRATO DE CIPROFLOXACINAEQUIVALENTE A 574.90 CIPROFLOXACINA BASE,1,N/A
ELECTROLITOS : SODIO,1,N/A
ANTITOXINA TETANICA EQUINA,1,N/A
BETAMETASONA DIPROPIONATO EQUIVALENTE A BETAMETASONA ALCOHOL,1,N/A
LEVOMEPROMAZINAMALEATO EQUIVALENTE A LEVOMEPROMAZINA 100 MG,1,N/A
GLUCOSAMINA SULFATOCLORURO POTASICOEQUIVALENTE A GLUCOSAMINA SULFATO,1,N/A
DICLOFENACO DIETILAMINA,1,N/A
NITROGLICERINA 10 % EN LACTOSA (HDRATADA) USP,1,N/A
NAPROXENO SODICO275MG EQUIVALENTE A NAPROXENO,1,N/A
STHAPHYLOCOCCI(EXPRESADO EN10 A LA 6 CFU/G),1,N/A
HIDROXICINA CLORHIDRATO USP,1,N/A
ATOMOXETINA CLORHIDRATO EQUIVALENTE A ATOMOXETINA BASE 68.6 MG,1,N/A
SULFATO DE MAGNESIO HEPTAHIDRATADO 3.29 G. - CORRESPONDIENTE A SULFATO DE MAGNESIO,1,N/A
BITARTRATO DE VINORELBINA EQUIVALENTE A VINORELBINA BASE,1,N/A
PIPERACILINA,1,N/A
RANITIDINA EQUIVALENTE A,1,N/A
IBUPROFENO LISINATO,1,N/A
ACETAMINOFEN POLVO USP,1,N/A
CARBONATO DE CALCIO EQUIVALENTE A CALCIO ELEMENTAL 600 MG,1,N/A
ALBENDAZOLE MICRONIZADO,1,N/A
JOSAMICINA BASE,1,N/A
TRETINOINA U.S.P. (ACIDO RTINOICO),1,N/A
VENLAFAXINA HIDROCLORURO 169.710 EQUIVALENTE A VENLAFAXINE,1,N/A
FLUBENDAZOL MICRONIZADO,1,N/A
HEPARINA (10 - 50 U.I.),1,N/A
VITAMINA E (DL-ALPHA TOCOPHERYL ACETATE),1,N/A
FLOR DE HIBISCO (HIBISCUS SABDARIFFA),1,N/A
DOXAZOSINA MESILATO,1,N/A
CADA VIAL CONTIENE CALCIO FOLINATO EQUIVALENTE A CIDO FOLICO,1,N/A
LEVONORGESTREL (GRAGEA COLOR ROSADO),1,N/A
CLOBETASOL PROPIONATO USP,1,N/A
GLUCONATO DE MAGNESIO,1,N/A
SULFATO DE ZINC 36.4 % ZN (EQUIVALENTE A 25 MG DE ZINC),1,N/A
COMPARTIMIENTO N 3 EMULSIÓN LIPIDA COMPOSICIÓN PARA,1,N/A
CLORHIDRATO DEFENILEFRINA,1,N/A
VITAMINA B6 EQUIVALENTE A PIRIDOXINA CLORHIDRATO,1,N/A
AMLODIPINO BESILATO (EQUIVALENTE A 10 MG DE AMLODIPINO BASE),1,N/A
RANITIDINA CLORHIDRATO EQUIVALENTE A RANITIDINA BASE 300 MG,1,N/A
ATORVASTATINA CALCIO EQUIVALENTE A ATORVASTATINA,1,N/A
FLUOXETINA CLORHIDRATO 22.40 MG EQUIVALENTE A FLUOXETINA BASE,1,N/A
PAMOATO DE PIRANTEL MICRONIZADO (735.30 MG) EQUIVALENTE A PIRANTEL BASE,1,N/A
YODURO DE POTASIO USP,1,N/A
SILDENAFIL CITRATOEQUIVALENTEA SILDENAFIL BASE,1,N/A
LACTASA (D-GALACTOSA) 96 MG EQUIVALENTE A 9900 UNIDADEDES FCC DE LACTASA,1,N/A
ATAZANAVIR SULFATO 170.84 MG EQUIVALENTE A ATAZANAVIR BASE,1,N/A
LISINOPRIL DIHIDRATO (EQUIVALENTE A 5.0MG DE LINISOPRIL),1,N/A
LEVADURA DE MOLIBDENO EQUIVALENTE A MOLIBDENO,1,N/A
VITAMINA D3 100 CWS,1,N/A
TAURONATO COCOIL METIL DE SODIO,1,N/A
CILASTATINA SODICAESTERIL 530.7MG EQUIVALENTE A 500MG DECILASTATINA ACIDA,1,N/A
L- ISOLEUCINAUSP,1,N/A
FOSFATO DE POTASIODIBASICO ANHIDRO USP,1,N/A
RANITIDINACLORHIDRATO 167.4 MG. EQUIVALENTE A RANITIDINA BASE,1,N/A
AMINOACIDOS ESENCIALES: VALINA,1,N/A
SULFATO DE COBRE PENTAHIDRATADO USP EQUIVALENTE A COBRE,1,N/A
CATALIN SAL SODICA 0.850 MG EQUIVALENTE A CATALIN BASE,1,N/A
CADA AMPOLLA DE 10 ML. CONTIENE SULFATO DE MAGNESIO HEPTAHIDRATADO EQUIVALENTE A SULFATO DE MAGNESIO,1,N/A
CLOTRIMAZOLPOLVO,1,N/A
NOROGESTIMATO,1,N/A
COMPARTIMIENTO DE LA EMULSIÓN DE LÍPIDOS,1,N/A
SULFATO DE MANGANESO MONOHIDRATADO (EQUIVALENTE A 1.8 MG DEL ION MANGANESO),1,N/A
CLORHIDRATO DE RANITIDINA 345.0 MG EQUIVALENTE A RANITIDINA BASE,1,N/A
PAMOATO DE PIRANTEL ( MICRONIZADO) EQUIVALENTE A PIRANTEL,1,N/A
VITAMINA D3 (100.000 UI/G) EQUIVALENTE A 200 U.I.,1,N/A
CIPROFLOXACINO CLORHIDRATO MONOHIDRATO (GRANULADO) C.D. 65% 769.10MG EQUIVALENTES A 500.00MG DE CIPROFLOXACINO BASE. COMPOSICIÓN DEL GRANULADO: CIPROFLOXACINO CLORHIDRATO MONOHIDRATO 582.21MG EQUIVALENTES A 500.00MG DE CIPROFLOXACINO BASE.,1,N/A
SALBUTAMOL SULFATO. EQUIVALENTE A SALBUTAMOL,1,N/A
LEVOSALBUTAMOL TARTRATO (MICRONIZADO) 65.68MCG EQUIVALENTE A LEVOSALBUTAMOL,1,N/A
ABACAVIR SULFATO 351.390 MG EQUIVALENTE A ABACAVIR,1,N/A
L-GLUTATHIONINE REDUCED,1,N/A
ACIDO GLICOLICO (ACIDO HIDROXIACETICO),1,N/A
ROSUVASTATINA CÁLCICA 41.56 MG EQUIVALENTES A ROSUVASTATINA,1,N/A
DEXTROSA ANHIDRA EN POLVO,1,N/A
VANCOMICINA CLORHIDRATO (EQUIVALENTE A 500 MG DE VANCOMICINA),1,N/A
OXIDO DE MAGNESIO(EQUIVALENTE A 44 MG DEL ION MAGNESIO),1,N/A
DOXORUBICINACLORHIDRATO,1,N/A
PIOGLITAZONA CLORHIDRATO EQUIVALENTE A PIOGLITAZONA,1,N/A
MONONITRATO DETAIMINA EQUIVALENTE ATIAMINA ( VITAMINAB),1,N/A
ASCORBATO DE SODIO EQUIVALENTE A 250 MG DE ACIDO ASCORBICO,1,N/A
PIRITINOL BASE,1,N/A
CIPROFLOXACINO CLORHIDRATO 334.7 MG + CIPROFLOXACINO BETAINA 253.0 MG EQUIVALENTE A CIPROFLOXACINO BASE,1,N/A
AMPICILINA SODICA 1063 MGEQUIVALENTE A AMPICILINA BASE,1,N/A
ESCINA AMORFA,1,N/A
PHLOROGLUCINOL HIDRATADOEQUIVALENTE A 31.12 MG EN FORMA ANHIDRA,1,N/A
CALCIO ELEMENTAL (FOSFATO TRICALCICO),1,N/A
CUBIERTA: EUDRAGIT NE-30 D,1,N/A
PIRODOXINA CLORHIDRATO VITAMINA B 6,1,N/A
DICLOXACILINA SODICA MONOHIDRATO 556.4 MG EQUIVALENTE A DICLOXACILINA,1,N/A
DL-ALFA-TOCOFERIL ACETATO,1,N/A
CEFTRIAXONA SODICA ESTERIL EQUIVALENTE A CEFTRIAXONA BASE 1G,1,N/A
YODOPOVIDONA*,1,N/A
CEFUROXIMASÓDICA EQUIVALENTE A CEFUROXIMA BASE,1,N/A
CEFIXIMA BASE (EQUIVALENTE A 447.66 MG DE CEFIXIMA TRIHIDRATO),1,N/A
AMOXICILINA TRIHIDRATO COMPACTADA EQUIVALENTE A AMOXICILINA,1,N/A
CIPROFLOXACINO CLORHIDRATO MONOHIDRATO 3.5 MG EQUIVALENTE A CIPROFLOXACINO BASE,1,N/A
CONDROITINA SULFATO AL 90% EQUIVALENTE A CONDROITINA SULFATO,1,N/A
BETACAROTENO 30% EQUIVALENTE A 7.500UI,1,N/A
CADA TABLETA CONTIENE: SIMETICONA,1,N/A
CLAVULANATO DE POTASIO 37.2 MG EQUIVALENTE A ACIDO CLAVULÁNICO,1,N/A
AMARILLO NO 10 D&C CI 47005,1,N/A
HIERRO ELEMENTAL,1,N/A
GENTAMICINA BASE(EQUIVALENTE A 0.384 G. DE GENTAMICINA SULFATO),1,N/A
FOSFATO DE SODIO DIBASICO (ANHIDRO),1,N/A
FRACCIÓN FLAVONOLICA PURIFICADA EQUIVALENTE A 90% DE DIOSMINA Y A 10% DE OTROS FLAVONOIDES EXPRESADOS COMO HESPERIDINA.(DIOSMINA 450MG + HESPERIDINA 50MG),1,N/A
PSEUDOEFEDRINA HCL,1,N/A
VITAMINAE(DL- ALFATOCOFERILACETATO) 100 MG,1,N/A
AMIKACINA SULFATO EQUIVAELNTE A AMIKACINA BASE 500 MG,1,N/A
CLORHIDRATO DE PIRIDOXINA (3.920 MG) EQUIVALENTE A VITAMINA B6,1,N/A
ATORVASTATINA CALCICAEQUIVALENTE A ATORVASTATINA,1,N/A
DICLOFENACO DIETILAMONIO 1.16G EQUIVALENTE A DICLOFENACO SÓDICO,1,N/A
CIPROFLOXACINA DE COMPRESION DIRECTA 769.23MG EQUIVALENTE . A CIPROFLOXACINO,1,N/A
DESOGESTREL (COMPRIMIDO ROJO),1,N/A
DICLOFENACO SODICO (CAPA A),1,N/A
CARBONATO DE CALCIOEQUIVALENTE A CALCIO,1,N/A
CEFEPIMA CLORHIDRATO MONOHIDRATO (EQUIVALENTE A 2000 MG. DE CEFEPIMA) 2378.4 MG.,1,N/A
CEFOTAXIMA SODICA ESTERIL 1.05 G EQUIVALENTE A CEFOTAXIMA,1,N/A
EPROSARTÁN MESILATO 735.8 MG EQUIVALENTES A EPROSARTÁN BASE,1,N/A
MICROCÁSULAS DE IBUPROFENO 120.48MG EQUIVALENTE A IBUPROFENO BASE,1,N/A
CYANOCOBALAMINA 1 %,1,N/A
HIERRO (COMO COMPLEJO DE HIERRO III DEXTRANO 625 MG ),1,N/A
PIOGLITAZONA CLORHIDRATO (EQUIVALENTE A PIOGLITAZONA),1,N/A
KELP (ALGA),1,N/A
VITAMINA A (COMO VITAMINA A PALMITATO),1,N/A
ACIDO IOXAGLICO (53.33 G) EQUIVALENTE A IOXAGALATO DE SODIO,1,N/A
DOBUTAMINA CLORHIDRATO EQUIVALENTE A DOBUTAMINA 12.5 MG,1,N/A
VITAMINA A (ACETATO),1,N/A
FRACCION DE MEMBRANA : PROTEOGLICANOS DE KLEBSIELLA PNEUMONIAE,1,N/A
A/VICTORIA/361/2011 (H3N2) - CEPA DERIVADA UTILIZADA IVR-165. . 9 MCG DE HEMAGLUTININA,1,N/A
AMPICILINA SODICA 1.131 G EQUIVALENTE A DE AMPICILINA BASE,1,N/A
PSEUDOEFEDRINA SULFATO(NUCLEO),1,N/A
HIIDROXIDO DE MAGNESIO PASTA AL 30% EQUIVALENTE A HIDROXIDO DE MAGNESIO,1,N/A
METOCLOPRAMIDA,1,N/A
SULFATO FERROSO 7H2O 300.00MG EQUIVALENTE A HIERRRO ELEMENTAL,1,N/A
RISEDRONATO SODICO HEMIPENTAHIDRATADO EQUIVALENTE A RISEDRONATO SODICO,1,N/A
OMEPRAZOL (EQUIVALENTE A APROX 200 MG DE MICROGRANULAOS GASTRORESISTENTES),1,N/A
BENCILPENICILINA PROCAINA,1,N/A
BETAMETASONA DIPROPIONATO EQUIVALENTE A 0.05 GR DE BETAMETASONA BASE,1,N/A
ATOMOXETINA CLORHIDRATO (EQUIVALENTE A 18 MG DE ATOMOXETINA BASE),1,N/A
CARBOCISTEINA MONOHIDRATOLISINATO EQUIVALENTE A CARBOCISTEINA LISINATO,1,N/A
TIAMINA MONONITRATO EQUIVALENTE A TIAMINA BASE .EXCESO 15.5 %,1,N/A
POLIMERO DE CARBOXIMETIL CELULOSA,1,N/A
DROSPIRENONA *TABLETA RECUBIERTA ROSA (ACTIVO),1,N/A
VITAMNIA C,1,N/A
MIDAZOLAM BP,1,N/A
MICROGRANULOS DE HIERRO: HIERRO AMINOQUELADO (18 %) FE) EQUIVALENTE A 30.00 MG DE HIERRO ELEMENTAL,1,N/A
CARBONATO DE CALCIO EQUIVALENTE A 600 MG DE CALCIO,1,N/A
GLUCONATO DE POTASIO,1,N/A
PNEUMOCOCOS I. II. III.,1,N/A
GRASA (2.70G TCM),1,N/A
S(-)ATENOLOL,1,N/A
MOXIFLOXACINA CLORHIDRATO436.8 MG EQUIVALENTE A MOXIFLOXACINA BASE,1,N/A
GLUCOSAMINA SULFATO POLICRISTALINO (EQUIVALENTE A 400.00MG DE GLUCOSAMINA SULFATO),1,N/A
SIMVASTATINA (EXESO DE 1% PARA 40.4),1,N/A
FOSFORO COMO COMO CALCIO FOSFATO DIBASICO,1,N/A
AMPICILINA SODICA ESTERIL APIROGENA CON UNA PUREZA DE 85% 1.177GEQUIVALENTE A AMPICILINA BASE.,1,N/A
ASPIRINA (ACIDO ACETIL SALICÍLICO) USP,1,N/A
ETINIL ESTRADIOL (GRAGEA BLANCA),1,N/A
QUETIAPINA FUMARATO230.29MGMGEQUIVALENTE A QUETIAPINABASE.,1,N/A
CAPROATO DE GESTONORONA,1,N/A
CONCENTRADO DE PROTEINA DE SUERO DE LECHE (75%) Y LECITINA DE SOYA (1.5%),1,N/A
ACETAMINOFEN PARA COMPRESION DIRECTA 555 MG EQUIVALENTE A,1,N/A
FUMARATO FERROSO (EQUIVALENTE A 18 MG DE HIERRO ELEMENTAL),1,N/A
LINCOMICINA CLORHIIDRATO 0.3666 EQUIVALENTE ALINCOMICINA BASE ANHIDRA,1,N/A
MEROPENEM TRIHIDRADO EQUIVALENTE A MEROPENEM BASE,1,N/A
CEFACLOR EQUIVALENTE A CEFACLOR ANHIDRO 125 MG,1,N/A
SUMATRIPTANSUCCINATO 8.4MGEQUIVALENTE A SUMATRIPTAN,1,N/A
PANCRELIPASA (EQUIVALENTE A LIPASA 5000 U.I. PROTEASA 20000 U.I AMILASA 20000 U.I. ),1,N/A
SIMETICONA EMULSIONADA AL 30% EQUIVALENTE A SIMETICONA,1,N/A
CLORURO DE MAGNESIO HEXAHIDRATADO PARA HEMODIALISIS,1,N/A
ESTROPIPATO USP,1,N/A
VITAMINA E ACETATO 50 % EQUIVALENTE A VITAMINA E ACETATO,1,N/A
QUETIAPINA FUMARATO 172.76 MG EQUIVALENTE A QUETIAPINA,1,N/A
DEXAMETASONA MICRONIZADA ESTERIL EQUIVALENTE A DEXAMETASONA BASE,1,N/A
TOXOIDE DIFTERICO MIN,1,N/A
AMPICILINA TRIHIDRATO (3.46 G) POLVO EQUIVALENTE AMPICILINA BASE,1,N/A
TEMAFLOXACINA HCL EQ. A TEMOFLOXACINA BASE,1,N/A
CROMO (COMO CLORURO DE CROMO),1,N/A
DICLOFENACO SÓDICO EQUIVALENT,1,N/A
CELULAS EMBRIONARIAS DE PATO Y POLLO (CSP),1,N/A
POLIETILENGLICOL 6000,1,N/A
CEFAEXINA MONOHIDRATADA (EQUIVALENTE A 250 MG DE CEFALEXINA BASE),1,N/A
TRANDOLAPRIL,1,N/A
HIDROCORTISONA SUCCINATO SODICO USP ( EQUIVALENTE A 100 MG. DE HIDROCORTISONA),1,N/A
PRIPILENGLICOL(PHARMACOPEA BRITANICA),1,N/A
GLUCONATO FERROSO DIHIDRATADO,1,N/A
QUININA,1,N/A
AMLODIPINO BESILATO (EQUIVALENTE A AMLODIPINO BASE),1,N/A
MILK THISTLE EXTRACT,1,N/A
CLORHEXIDINA GLUCONATO BP 20% V/V (EQUIVALENTE A 4.0% P/V DE GLUCONATO DE CLORHEXIDINA),1,N/A
METILERGOMETRINIO HIDROGENO MALEATO,1,N/A
ACETATO DE CLORHEXIDINA B P,1,N/A
MANGANESO COMO MANGANESO SULFATO,1,N/A
SULFATO DE SALBUTAMOL (EQUIVALENTE A SALBUTAMOL BASE 40 MG),1,N/A
HBSAG PURIFICADO,1,N/A
SULFATO DE ZINC (41.345 MG) EQUIVALENTE A ZINC,1,N/A
FOSFATO DE OSELTAMIVIR,1,N/A
