Principio Activo,Cantidad de Medicamentos,Nombre en Inglés
BUDESONIDA MICRONIZADA,13,N/A
ESTAVUDINA,13,N/A
FUMARATO FERROSO EQUIVALENTE A HIERRO,13,N/A
ÁCIDO ASCÓRBICO,13,N/A
SULFACETAMIDA SODICA,13,N/A
TIAMINA,13,N/A
EXTRACTO FLUIDO DE CASCARA SAGRADA,13,N/A
EZETIMIBA,13,N/A
DEXTROSA,13,N/A
DEXTROSA HIDRATADA USP,13,N/A
CEFALEXINA,12,Cephalexin
VITAMINA D2,12,N/A
GUAIFENESINA,12,N/A
EXTRACTO FLUIDO DE BOLDO,12,N/A
ALCOHOL ETILICO,12,N/A
CLORURO DE MAGNESIO HEXAHIDRATADO USP,12,N/A
RIBOFLAVINA B2,12,N/A
NEVIRAPINA,12,N/A
ENOXAPARINA SODICA,12,N/A
AZUFRE PRECIPITADO,12,N/A
CLAVULANATO DE POTASIO EQUIVALENTE A ACIDO CLAVULANICO,12,N/A
PEROXIDO DE BENZOILO,12,N/A
GLIBENCLAMIDA,12,N/A
L-CARNITINA,12,N/A
CLORHIDRATO DE PSEUDOEFEDRINA,12,N/A
PENICILINA G PROCAINICA EQUIVALENTE A PENICILINA G,12,N/A
MOMETASONA FUROATO,12,N/A
ACIDO ACETILSALICILICO,12,N/A
PIRACETAM,12,N/A
MESALAZINA,12,N/A
PARACETAMOL,12,Paracetamol
AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE,12,N/A
LATANOPROST,11,N/A
ACIDO LACTICO,11,N/A
ACIDO TARTARICO,11,N/A
CETIRIZINA CLORHIDRATO,11,N/A
SULFATO DE ZINC,11,N/A
DIAZEPAM,11,N/A
ARIPIPRAZOL,11,N/A
CLORURO DE BENZALCONIO,11,N/A
ZOLPIDEM HEMITARTRATO,11,N/A
DROSPIRENONA,11,N/A
CLORANFENICOL,11,N/A
RESORCINOL,11,N/A
CALAMINA,11,N/A
SALBUTAMOL,11,N/A
ACIDO CITRICO ANHIDRO,11,N/A
DIMETILPOLISILOXANO,11,N/A
MEBENDAZOL MICRONIZADO,11,N/A
CROTAMITON,11,N/A
ACIDO FÓLICO,11,N/A
GLUCOSAMINA SULFATO,11,N/A
ACIDO MEFENAMICO,11,N/A
ESPIRONOLACTONA,11,N/A
SILIMARINA,11,N/A
CIANOCOBALAMINA (VITAMINA B12),11,N/A
CIPROFLOXACINA,11,N/A
ETOPOSIDO,11,N/A
NIMESULIDE,11,N/A
PREDNISOLONA,11,N/A
AMPICILINA TRIHIDRATO EQUIVALENTE A AMPICILINA BASE,11,N/A
CLORHIDRATO DE TRAMADOL,11,N/A
TALCO,10,N/A
PRAVASTATINA SODICA,10,N/A
ALCOHOL ETILICO 96%,10,N/A
OXIMETAZOLINA CLORHIDRATO,10,N/A
PROPANOLOL CLORHIDRATO,10,N/A
SULFATO DE MANGANESO EQUIVALENTE A MANGANESO,10,N/A
GLUCOSA MONOHIDRATO,10,N/A
CODEINA FOSFATO,10,N/A
POLIMIXINA B SULFATO,10,N/A
SULFATO DE MAGNESIO,10,N/A
LEVOCETIRIZINA DICLORHIDRATO,10,N/A
NITRATO DE MICONAZOL,10,N/A
OXCARBAZEPINA,10,N/A
OXIDO DE MAGNESIO EQUIVALENTE A MAGNESIO,10,N/A
VITAMINA D3 (COLECALCIFEROL),10,N/A
ACIDO AMINO ACETICO (GLICINA),10,N/A
ACIDO VALPROICO,10,N/A
TOBRAMICINA,10,N/A
METILSULFONILMETANO,10,N/A
NITRATO DE ISOCONAZOL,10,N/A
IVERMECTINA,10,N/A
SALBUTAMOL SULFATO EQUIVALENTE A SALBUTAMOL BASE,10,N/A
NAFAZOLINA CLORHIDRATO,10,N/A
DOCETAXEL ANHIDRO,10,N/A
ACIDO ASCORBICO RECUBIERTO,10,N/A
DOCETAXEL,10,N/A
TERBINAFINA CLORHIDRATO,10,N/A
CIPERMETRINA,10,N/A
SULFATO FERROSO,10,N/A
GLUCOSA ANHIDRA,10,N/A
CIPROTERONA ACETATO,10,N/A
DONEPECILO CLORHIDRATO,10,N/A
CLORHIDRATO DE TIAMINA,10,N/A
FINASTERIDE,10,N/A
SALBUTAMOL SULFATO EQUIVALENTE A SALBUTAMOL,10,N/A
FURAZOLIDONA,10,N/A
ALOPURINOL,10,N/A
ATROPINA SULFATO,10,N/A
CLORURO DE MAGNESIO,10,N/A
PENTOXIFILINA,10,N/A
NIMESULIDA,10,N/A
DEFLAZACORT,10,N/A
TIAMINA CLORHIDRATO (VITAMINA B1),9,N/A
LISINA CLORHIDRATO,9,N/A
SULFATO FERROSO HEPTAHIDRATADO EQUIVALENTE A HIERRO ELEMENTAL,9,N/A
PROTEINA,9,N/A
CEFIXIMA,9,N/A
TIAMINA B1,9,N/A
PIRIDOXINA,9,N/A
PIRAZINAMIDA,9,N/A
MONOFLUOROFOSFATO DE SODIO,9,N/A
N-BUTILBROMURO DE HIOSCINA,9,N/A
VITAMINA E ACETATO,9,N/A
GENTAMICINA SULFATO EQUIVALENTE A GENTAMICINA,9,N/A
ISONIAZIDA,9,N/A
LIDOCAINA BASE,9,N/A
SILDENAFIL CITRATO EQUIVALENTE A SILDENAFIL BASE,9,N/A
NABUMETONA,9,N/A
